Number,Level,Parameter,Forecast Valid,Description
001,mean sea level,PRMSL,analysis,Pressure Reduced to MSL [Pa]
002,1 hybrid level,REFD,analysis,Reflectivity [dB]
003,entire atmosphere (considered as a single layer),REFC,analysis,Composite reflectivity [dB]
004,surface,VIS,analysis,Visibility [m]
005,cloud top,VIS,analysis,Visibility [m]
006,1 hybrid level,BMIXL,analysis,Blackadars Mixing Length Scale [m]
007,planetary boundary layer,HGT,analysis,Geopotential Height [gpm]
008.1,planetary boundary layer,UGRD,analysis,U-Component of Wind [m/s]
008.2,planetary boundary layer,VGRD,analysis,V-Component of Wind [m/s]
009,planetary boundary layer,VRATE,analysis,Ventilation Rate [m^2/s]
010,surface,GUST,analysis,Wind Speed (Gust) [m/s]
011,entire atmosphere (considered as a single layer),RETOP,analysis,Echo Top [m]
012,5 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
013,10 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
014,20 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
015,50 mb,HGT,analysis,Geopotential Height [gpm]
016,50 mb,TMP,analysis,Temperature [K]
017,50 mb,RH,analysis,Relative Humidity [%]
018,50 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
019,50 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
020.1,50 mb,UGRD,analysis,U-Component of Wind [m/s]
020.2,50 mb,VGRD,analysis,V-Component of Wind [m/s]
021,50 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
022,75 mb,HGT,analysis,Geopotential Height [gpm]
023,75 mb,TMP,analysis,Temperature [K]
024,75 mb,RH,analysis,Relative Humidity [%]
025,75 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
026,75 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
027.1,75 mb,UGRD,analysis,U-Component of Wind [m/s]
027.2,75 mb,VGRD,analysis,V-Component of Wind [m/s]
028,75 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
029,100 mb,HGT,analysis,Geopotential Height [gpm]
030,100 mb,TMP,analysis,Temperature [K]
031,100 mb,RH,analysis,Relative Humidity [%]
032,100 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
033,100 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
034.1,100 mb,UGRD,analysis,U-Component of Wind [m/s]
034.2,100 mb,VGRD,analysis,V-Component of Wind [m/s]
035,100 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
036,125 mb,HGT,analysis,Geopotential Height [gpm]
037,125 mb,TMP,analysis,Temperature [K]
038,125 mb,RH,analysis,Relative Humidity [%]
039,125 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
