"","name","longname","shortname","unit","dim"
"LambertConformal_Projection","LambertConformal_Projection","LambertConformal_Projection","LambertConformal_Projection","",""
"reftime","reftime","GRIB reference time","reftime","Hour since 2018-08-01T00:00:00Z",""
"height_above_ground_layer_bounds","height_above_ground_layer_bounds","bounds for height_above_ground_layer","height_above_ground_layer_bounds","m","height_above_ground_layer_bounds_1 height_above_ground_layer"
"depth_below_surface_layer_bounds","depth_below_surface_layer_bounds","bounds for depth_below_surface_layer","depth_below_surface_layer_bounds","m","depth_below_surface_layer_bounds_1 depth_below_surface_layer"
"pressure_difference_layer_bounds","pressure_difference_layer_bounds","bounds for pressure_difference_layer","pressure_difference_layer_bounds","Pa","pressure_difference_layer_bounds_1 pressure_difference_layer"
"sigma_layer_bounds","sigma_layer_bounds","bounds for sigma_layer","sigma_layer_bounds","sigma","sigma_layer_bounds_1 sigma_layer"
"depth_below_surface_layer1_bounds","depth_below_surface_layer1_bounds","bounds for depth_below_surface_layer1","depth_below_surface_layer1_bounds","m","depth_below_surface_layer1_bounds_1 depth_below_surface_layer1"
"isobaric_layer_bounds","isobaric_layer_bounds","bounds for isobaric_layer","isobaric_layer_bounds","Pa","isobaric_layer_bounds_1 isobaric_layer"
"pressure_difference_layer1_bounds","pressure_difference_layer1_bounds","bounds for pressure_difference_layer1","pressure_difference_layer1_bounds","Pa","pressure_difference_layer1_bounds_1 pressure_difference_layer1"
"pressure_difference_layer2_bounds","pressure_difference_layer2_bounds","bounds for pressure_difference_layer2","pressure_difference_layer2_bounds","Pa","pressure_difference_layer2_bounds_1 pressure_difference_layer2"
"depth_below_surface_layer2_bounds","depth_below_surface_layer2_bounds","bounds for depth_below_surface_layer2","depth_below_surface_layer2_bounds","m","depth_below_surface_layer2_bounds_1 depth_below_surface_layer2"
"height_above_ground_layer1_bounds","height_above_ground_layer1_bounds","bounds for height_above_ground_layer1","height_above_ground_layer1_bounds","m","height_above_ground_layer1_bounds_1 height_above_ground_layer1"
"Absolute_vorticity_isobaric","Absolute_vorticity_isobaric","Absolute vorticity @ Isobaric surface","Absolute_vorticity_isobaric","1/s","x y isobaric time"
"Albedo_surface","Albedo_surface","Albedo @ Ground or water surface","Albedo_surface","%","x y time"
"Convective_available_potential_energy_surface","Convective_available_potential_energy_surface","Convective available potential energy @ Ground or water surface","Convective_available_potential_energy_surface","J/kg","x y time"
"Convective_available_potential_energy_pressure_difference_layer","Convective_available_potential_energy_pressure_difference_layer","Convective available potential energy @ Level at specified pressure difference from ground to level layer","Convective_available_potential_energy_pressure_difference_layer","J/kg","x y pressure_difference_layer1 time"
"Convective_inhibition_surface","Convective_inhibition_surface","Convective inhibition @ Ground or water surface","Convective_inhibition_surface","J/kg","x y time"
"Convective_inhibition_pressure_difference_layer","Convective_inhibition_pressure_difference_layer","Convective inhibition @ Level at specified pressure difference from ground to level layer","Convective_inhibition_pressure_difference_layer","J/kg","x y pressure_difference_layer1 time"
